name,affiliation
Anand Rangarajan 0001,University of Florida
Anand Seetharam,Binghamton University
Anand Sivasubramaniam,Pennsylvania State University
Anand Tripathi,University of Minnesota
Ananda Mohan Mondal,Florida International University
Ananda Mondal,Florida International University
Anant Agarwal,Massachusetts Institute of Technology
Anant Sahai,University of California - Berkeley
Ananth Grama,Purdue University
Ananth Kalyanaraman,Washington State University
Anantharaman Kalyanaraman,Washington State University
Anarosa A. F. Brandão,USP
Anarosa Alves Franco Brandão,USP
Anarosa Brandão,USP
Anastasia Ailamaki,EPFL
Anastasios Kyrillidis,Rice University
Anastasios Sidiropoulos,University of Illinois at Chicago
Anastasios Viglas,University of Sydney
Anastassia Ailamaki,EPFL
Anat Paskin,Ariel University
Anat Paskin-Cherniavsky,Ariel University
Anca D. Dragan,University of California - Berkeley
Anca Dragan,University of California - Berkeley
Anders Møller,Aarhus University
Anders Robertsson,Lund University
Anders Søgaard,University of Copenhagen
Anderson Maciel,UFRGS
Anderson Rocha,UNICAMP
Anderson de Rezende Rocha,UNICAMP
Andranik Mirzaian,York University
Andras Farago,University of Texas at Dallas
Andre Scedrov,University of Pennsylvania
Andrea Bonarini,Politecnico di Milano
Andrea Bunt,University of Manitoba
Andrea C. Arpaci-Dusseau,University of Wisconsin - Madison
Andrea C. Dusseau,University of Wisconsin - Madison
Andrea Cavallaro,Queen Mary University of London
Andrea Corradini,University of Pisa
Andrea De Lucia,University of Salerno
Andrea F. Abate,University of Salerno
Andrea Francesco Abate,University of Salerno
Andrea Grimes Parker,Northeastern University
Andrea Lockerd,Georgia Institute of Technology
Andrea Lockerd Thomaz,Georgia Institute of Technology
Andrea Maggiolo Schettini,University of Pisa
Andrea Marino,University of Pisa
Andrea S. LaPaugh,Princeton University
Andrea Tagliasacchi,University of Victoria
Andrea Thomaz,Georgia Institute of Technology
Andreas Albrecht,Middlesex University
Andreas Alexander Albrecht,Middlesex University
Andreas Bulling,University of Stuttgart
Andreas Butz,LMU Munich
Andreas Fell,Australian National University
Andreas G. Veneris,University of Toronto
Andreas Haeberlen,University of Pennsylvania
Andreas Henschel,Masdar Institute
Andreas Klappenecker,Texas A&M University
Andreas Klöckner,Univ. of Illinois at Urbana-Champaign
Andreas Koch,TU Darmstadt
Andreas Krause 0001,ETH Zurich
Andreas Lanitis,Cyprus University of Technology
Andreas Naderlinger,University of Salzburg
Andreas Podelski,University of Freiburg
Andreas R. Pfenning,Carnegie Mellon University
Andreas S. Andreou,Cyprus University of Technology
Andreas Stathopoulos,College of William and Mary
Andreas Uhl,University of Salzburg
Andreas Vogelsang,TU Berlin
Andreas Weisshaar,Oregon State University
Andreas Wichert,Universidade de Lisboa
Andreas Willig,University of Canterbury
Andreas Zeller,CISPA Helmholtz Center i.G.
Andrei A. Bulatov,Simon Fraser University
Andrei Bulatov,Simon Fraser University
Andrei C. Jalba,TU Eindhoven
Andrei Jalba,TU Eindhoven
Andrei Popescu 0001,Middlesex University
Andrej Bogdanov,Chinese University of Hong Kong
Andrej Scedrov,University of Pennsylvania
Andres Cuevas,Australian National University
Andres Faina,IT University of Copenhagen
Andres Martinez-Fernandez,Universidad Rey Juan Carlos
Andrew A. Chien,University of Chicago
Andrew B. Horner,HKUST
Andrew B. Kahng,University of California - San Diego
Andrew Blakers,Australian National University
Andrew C. Doxey,University of Waterloo
Andrew C. Gordon,University of Edinburgh
Andrew C. Myers,Cornell University
Andrew C. Rice,University of Cambridge
Andrew C. Simpson,University of Oxford
Andrew C. Yao,Tsinghua University
Andrew Calway,University of Bristol
Andrew Chi-Chih Yao,Tsinghua University
Andrew Colin Rice,University of Cambridge
Andrew D. Calway,University of Bristol
Andrew D. Ker,University of Oxford
Andrew D. Richardson,Northern Arizona University
Andrew David Ker,University of Oxford
Andrew Dekker,University of Queensland
Andrew Drucker,University of Chicago
Andrew E. Johnson,University of Illinois at Chicago
Andrew Eckford,York University
Andrew F. Thomson,Australian National University
Andrew Gordon Wilson,Cornell University
Andrew Grimshaw,University of Virginia
Andrew Hamilton-Wright,University of Guelph
Andrew Hopper,University of Cambridge
Andrew J. Davison,Imperial College London
Andrew J. Ko,University of Washington
Andrew J. McAllister,University of New Brunswick
Andrew Jensen Ko,University of Washington
Andrew Klapper,University of Kentucky
Andrew Lo,Massachusetts Institute of Technology
Andrew Lukefahr,Indiana University
Andrew Luxton-Reilly,University of Auckland
Andrew M. Childs,University of Maryland - College Park
Andrew M. Pitts,University of Cambridge
Andrew Markham,University of Oxford
Andrew McCallum,University of Massachusetts Amherst
Andrew McGregor 0001,University of Massachusetts Amherst
Andrew Meneely,Rochester Institute of Technology
Andrew Miller,Univ. of Illinois at Urbana-Champaign
Andrew Nealen,New York University
Andrew O'Fallon,Washington State University
Andrew P. Martin,University of Oxford
Andrew P. Paplinski,Monash University
Andrew Pavlo,Carnegie Mellon University
Andrew Philippides,University of Sussex
Andrew R. Post,Emory University
Andrew R. Runnalls,University of Kent
Andrew Robb,Clemson University
Andrew S. Grimshaw,University of Virginia
Andrew S. Lan,University of Massachusetts Amherst
Andrew S. Miner,Iowa State University
Andrew S. Tanenbaum,VU Amsterdam
Andrew Simpson,University of Oxford
Andrew Sohn,NJIT
Andrew T. Campbell,Dartmouth College
Andrew T. Duchowski,Clemson University
Andrew Taylor,UNSW
Andrew Trotman,University of Otago
Andrew Turpin,University of Melbourne
Andrew W. Appel,Princeton University
Andrew W. Lo,Massachusetts Institute of Technology
Andrew W. Moore 0001,Carnegie Mellon University
Andrew W. Moore 0002,University of Cambridge
Andrew William Moore,University of Cambridge
Andrey N. Chernikov,Old Dominion University
Andri Ioannou,Cyprus University of Technology
Andri Ioannou-Nicolaou,Cyprus University of Technology
Andrian Marcus,University of Texas at Dallas
Andries van Dam,Brown University
Andriy V. Miranskyy,Ryerson University
Andruid Kerne,Texas A&M University
Andrzej Filinski,University of Copenhagen
Andrzej Janusz,University of Warsaw
Andrzej S. Murawski,University of Oxford
Andrzej Szalas,University of Warsaw
Andrzej Tarlecki,University of Warsaw
Andrzej Wasowski,IT University of Copenhagen
Andrzej Wichert,Universidade de Lisboa
András Faragó,University of Texas at Dallas
André C. Drummond,Universidade de Brasília
André C. Hora,UFMS
André C. P. L. F. Carvalho,USP-ICMC
André C. P. L. F. de Carvalho,USP-ICMC
André Carlos Ponce Leon Ferreira de Carvalho,USP-ICMC
André Carlos Ponce de Leon Ferreira de Carvalho,USP-ICMC
André DeHon,University of Pennsylvania
André Fujita,USP
André Grahl Pereira,UFRGS
André Gustavo dos Santos,Universidade Federal de Viçosa
André Inácio Reis,UFRGS
André J. A. Unger,University of Waterloo
André Nies,University of Auckland
André Platzer,Carnegie Mellon University
André Ricardo Backes,UFU
André Santanchè,UNICAMP
André van der Hoek,University of California - Irvine
Andréa W. Richa,Arizona State University
Andrés A. Lucero,Aalto University
Andrés Bruhn,University of Stuttgart
Andrés Lucero,Aalto University
Anduo Wang,Temple University
Andy Carpenter,University of Manchester
Andy Cobley,University of Dundee
Andy Cockburn,University of Canterbury
Andy Gill,University of Kansas
Andy Hopper,University of Cambridge
Andy King,University of Kent
Andy Ko,University of Washington
Andy Mirzaian,York University
Andy Nealen,New York University
Andy Pavlo,Carnegie Mellon University
Andy Podgurski,Case Western Reserve University
Andy Song,RMIT University
Andy Tanenbaum,VU Amsterdam
Andy Zaidman,TU Delft
Andy van Dam,Brown University
Anelis Kaiser,University of Freiburg
Angela Arapoyanni,University of Athens
Angela Demke Brown,University of Toronto
Angela Finlayson,UNSW
Angela K. Demke,University of Toronto
Angelika Steger,ETH Zurich
Angelo C. Morzenti,Politecnico di Milano
Angelo Marcelli,University of Salerno
Angelos Bilas,University of Crete
Angelos Stavrou,George Mason University
Angus Forbes,University of California - Santa Cruz
Angus Graeme Forbes,University of California - Santa Cruz
Ani Calinescu,University of Oxford
Ani Nenkova,University of Pennsylvania
Aniello Cimitile,University of Sannio
Aniket Kate,Purdue University
Aniket Kittur,Carnegie Mellon University
Aniket Mahanti,University of Auckland
Anil Damle,Cornell University
Anil K. Jain,Michigan State University
Anil K. Jain 0001,Michigan State University
Anil K. Seth,University of Sussex
Anil Kumar Jain,Michigan State University
Anil Kumar S. Vullikanti,University of Virginia
Anil Kumar Sao,IIT Mandi
Anil Kumar Singh,IIT (BHU) Varanasi
Anil Kumar Tripathi,IIT (BHU) Varanasi
Anil Kumar Vuppala,IIIT Hyderabad
Anil Madhavapeddy,University of Cambridge
Anil Maheshwari,Carleton University
Anil N. Hirani,Univ. of Illinois at Urbana-Champaign
Anil Seth,IIT Kanpur
Anil Shukla,IIT Jodhpur
Anil Somayaji,Carleton University
Anil Vullikanti,University of Virginia
Animesh Mukherjee 0001,IIT Kharagpur
Anindya De,University of Pennsylvania
Anirban Dasgupta 0001,IIT Gandhinagar
Anirban Sengupta,IIT Indore
Aniruddha S. Gokhale,Vanderbilt University
Anirudh Sivaraman,New York University
Anish Arora,Ohio State University
Anish Mathuria,DAIICT
Anisoara Calinescu,University of Oxford
Anita Sarma,Oregon State University
Anita Wasilewska,Stony Brook University
Anja Feldmann,Max Planck Institute
Anjan Bose,Washington State University
Ankit Singla,ETH Zurich
Ankur Moitra,Massachusetts Institute of Technology
Ann A. Copestake,University of Cambridge
Ann Blandford,University College London
Ann E. Blandford,University College London
Ann E. Nicholson,Monash University
Ann Nicholson,Monash University
Anna Bernasconi 0001,University of Pisa
Anna Goldenberg,University of Toronto
Anna Gál,University of Texas at Austin
Anna Jordanous,University of Kent
Anna K. Jordanous,University of Kent
Anna Kicheva,IST Austria
Anna L. Cox,University College London
Anna Lisa Ferrara,University of Molise
Anna Louise Cox,University College London
Anna Lubiw,University of Waterloo
Anna Lysyanskaya,Brown University
Anna M. Antola,Politecnico di Milano
Anna Monreale,University of Pisa
Anna R. Karlin,University of Washington
Anna Rumshisky,University of Massachusetts Lowell
Anna Vilanova,TU Delft
Anna Vilanova Bartrolí,TU Delft
Anna Zych,University of Warsaw
Annalisa De Bonis,University of Salerno
Annalu Waller,University of Dundee
Anne Benoit,Ecole Normale Superieure de Lyon
Anne Bouillard,Ecole Normale Superieure
Anne Brüggemann-Klein,TU Munich
Anne C. Elster,Norwegian University of Science and Technology
Anne Condon,University of British Columbia
Anne Driemel,TU Eindhoven
Anne Marie Piper,Northwestern University
Anne R. Haake,Rochester Institute of Technology
Anne Rogers,University of Chicago
Anne Roudaut,University of Bristol
Anne S. Hsu,Queen Mary University of London
Anne Villems,University of Tartu
Anne-Claire Legrand,Université Jean Monnet
Annette R. von Jouanne,Oregon State University
Annette ten Teije,VU Amsterdam
Annibale Panichella,TU Delft
Annie I. Antón,Georgia Institute of Technology
Annie S. Wu,University of Central Florida
Annika Hinze,University of Waikato
Annika Marie Hinze,University of Waikato
Anoop Cherian,Australian National University
Anoop M. Namboodiri,IIIT Hyderabad
Anoop Sarkar,Simon Fraser University
Ansaf Salleb,Columbia University
Ansaf Salleb-Aouissi,Columbia University
Anselm Blumer,Tufts University
Anselmo Antunes Montenegro,UFF
Anshul Gandhi,Stony Brook University
Anshul Kumar,IIT Delhi
Anshul Kundaje,Stanford University
Anshumali Shrivastava,Rice University
Anthony Busson,Ecole Normale Superieure de Lyon
Anthony D. Joseph,University of California - Berkeley
Anthony Faiola,University of Illinois at Chicago
Anthony Finkelstein,University College London
Anthony Gitter,University of Wisconsin - Madison
Anthony Hoi Tin Tang,University of Calgary
Anthony Hunter,University College London
Anthony Ian Wirth,University of Melbourne
Anthony J. Bonner,University of Toronto
Anthony J. Field,Imperial College London
Anthony J. Hornof,University of Oregon
Anthony Johnson,Univ. of Maryland - Baltimore County
Anthony K. H. Tung,National University of Singapore
Anthony R. Dick,University of Adelaide
Anthony Savidis,University of Crete
Anthony Skjellum,Auburn University
Anthony Steed,University College London
Anthony Tang 0001,University of Calgary
Anthony V. Robins,University of Otago
Anthony W. Lin,University of Oxford
Anthony Widjaja Lin,University of Oxford
Anthony Widjaja To,University of Oxford
Anthony Wirth,University of Melbourne
Antoaneta Serguieva,University College London
Antoine Deza,McMaster University
Antoine Vigneron,UNIST
Anton Eliëns,VU Amsterdam
Anton Wijs,TU Eindhoven
Anton van den Hengel,University of Adelaide
Antonella Di Lillo,Brandeis University
Antonella Santone,University of Molise
Antonette Mendoza,University of Melbourne
Antonia Zhai,University of Minnesota
Antonija Mitrovic,University of Canterbury
Antonio A. F. Loureiro,UFMG
Antonio Alfredo Ferreira Loureiro,UFMG
Antonio Augusto de Aragão Rocha,UFF
Antonio Barbalace,Stevens Institute of Technology
Antonio Brogi,University of Pisa
Antonio C. S. Beck,UFRGS
Antonio Capone,Politecnico di Milano
Antonio Carlos Schneider Beck,UFRGS
Antonio Carlos Schneider Beck Filho,UFRGS
Antonio Carzaniga,Università della Svizzera italiana
Antonio Cisternino,University of Pisa
Antonio Cortes Rossello,Polytechnic University of Catalonia
Antonio Della Cioppa,University of Salerno
Antonio Filieri,Imperial College London
Antonio Frangioni,University of Pisa
Antonio G. Marques,Universidad Rey Juan Carlos
Antonio González 0001,Polytechnic University of Catalonia
Antonio Juan Hormigo,Polytechnic University of Catalonia
Antonio L. Furtado,PUC-RIO
Antonio Luz Furtado,PUC-RIO
Antonio Nicolosi,Stevens Institute of Technology
Antonio R. Miele,Politecnico di Milano
Antonio Ruiz-Martínez,University of Murcia
Antonio Torralba 0001,Massachusetts Institute of Technology
Antonio Tricoli,Australian National University
Antonis Argyros,University of Crete
Antonis Dimakis,AUEB
Antonis M. Paschalis,University of Athens
Antoniu Pop,University of Manchester
Antony Hosking,Australian National University
Antony L. Hosking,Australian National University
Antonín Kucera,Masaryk University
Antti Oulasvirta,Aalto University
Antti Ylä-Jääski,Aalto University
António Grilo,Universidade de Lisboa
António M. Grilo,Universidade de Lisboa
António Manuel Ferreira Rito da Silva,Universidade de Lisboa
António Manuel Grilo,Universidade de Lisboa
António Menezes Leitão,Universidade de Lisboa
António Rito Silva,Universidade de Lisboa
Antônio Marinho Pilla Barcellos,UFRGS
Anu G. Bourgeois,Georgia State University
Anubha Gupta,IIIT Delhi
Anuj Dawar,University of Cambridge
Anuj Karpatne,Virginia Tech
Anujan Varma,University of California - Santa Cruz
Anup Basu,University of Alberta
Anup Rao,University of Washington
Anupam Basu,IIT Kharagpur
Anupam Chattopadhyay,Nanyang Technological University
Anupam Das 0001,North Carolina State University
Anupam Das 0002,Ecole Normale Superieure de Lyon
Anupam Datta,Carnegie Mellon University
Anupam Gupta,Carnegie Mellon University
Anupam Joshi,Univ. of Maryland - Baltimore County
Anurag K. Srivastava,Washington State University
Anurag Mittal,IIT Madras
Anusha I. Withana,University of Sydney
Anwar Haque,Western University
Anwitaman Datta,Nanyang Technological University
Anxiao Andrew Jiang,Texas A&M University
Anxiao Jiang,Texas A&M University
Aparna Chandramowlishwaran,University of California - Irvine
Aphrodite Galata,University of Manchester
Aphrodite Tsalgatidou,University of Athens
Apostolis Zarras,Maastricht University
